GenArtNo;genart_en
1236;Magnetic Clutch, air conditioning compressor
1237;Resonator, exhaust system
1238;Bonnet Cable
1239;Cable, heater flap
1240;Cable, starter
1244;Relay, start repeater
1245;Seal, windscreen
1246;Seal, rear window
1247;Seal, door window
1248;Seal, side window
1249;Trim/Protection Strip, windscreen
1250;Trim/Protection Strip, rear window
1251;Trim/Protection Strip, door window
1252;Trim/Protection Strip, side window
1253;Retaining Clip, windows
1254;Fan, air conditioning condenser
1255;Repair Kit, brake fluid reservoir
1256;Soot/Particulate Filter, exhaust system
1259;Door, driver cab
1260;Water Pump, engine cooling
1261;Relay, headlight cleaning
1263;Cylinder Head
1264;Complete Engine
1265;Partial Engine
1266;Refrigerant Filter, air conditioning
1267;Relay, central locking system
1268;Spoiler, radiator grille
1269;Intake Valve
1270;Exhaust Valve
1271;Valve keeper
1272;Valve Retainer Caps
1273;Valve Spring
1274;Valve Seat Ring
1275;Rocker Arm Bearing
1276;Camshaft Bearing
1278;Control Unit, automatic transmission
1279;Washer Fluid Pipe, headlight cleaning
1280;Washer Fluid Jet, headlight cleaning
1281;Repair Kit, axle beam
1284;Charcoal Filter, tank ventilation
1285;Relay, safety belt alarm
1286;Relay, rear fog light
1287;Relay, high beam headlight
1288;Sensor, coolant level
1289;Sensor, engine oil level
1290;Relay, rear window heating
1291;Relay, radiator fan overrun
1292;Relay, window regulator
1293;Time Delay Relay, interior lighting
1294;Relay, front fog light
1295;Sensor, engine bay temperature
1298;Idle Control Valve, air supply
1299;Exterior Mirror, driver cab
1300;Spring Seat
1301;Washer Fluid Reservoir, headlight cleaning
1303;Pressure Accumulator, fuel pressure
1304;Regulating Valve, clutch slave cylinder
1305;Valve, air control (intake air)
1306;Valve, carburettor
1307;Wiper Linkage, headlight cleaning
1308;Secondary Air Pump Module
1309;Flange, fuel supply unit
1312;Pressure Limiting Valve, air suspension
1313;Quick Release Valve
1314;Pressure Control Valve
1315;Push Button Valve
1316;Load Sensitive Valve
1317;Throttle Valve
1318;Water Drain Valve
1319;Multiport Valve
1320;Breather Valve
1321;Pressure Limiting Valve
1322;Pressure Control Valve
1323;Solenoid Valve
1324;Non-Return Valve
1325;Overflow Valve
1326;Rotary-knob Valve
1327;Double Stop Valve
1328;Adaptor Valve
1329;Relay Valve
1330;Splash Guard, brake disc
1332;Immobilizer
1333;Stop Valve, immobilizer
1334;Mounting, stabiliser bar
1335;Trim/Protection Strip Set
